,title,rating,calories,sodium,fat,protein,price,cooking_time,personal_rating,ingredients,keywords
10,Butternut Squash Sandwich with Cheddar Cheese and Pickled Red Onion ,4.5,773.0,1077.0,35.0,19.0,6.609999999999999,40.0,"[['yam_yam from San Francisco, CA ', 3], ['hikeybikey from Scottsdale, AZ ', 5], ['jenpost1556 from Stoughton wi  ', 5], ['kellyn301 from Washington, DC ', 5], ['sbdelisle ', 5], ['jessicaangellsmith from Yarmouth, Me ', 5]]","Chips (for serving; optional) 1 medium butternut squash (about 2 pounds) 1/2 medium red onion, thinly sliced 4 slices white cheddar 1 3/4 teaspoons kosher salt, divided 1 1/2 teaspoons sugar 1/4 cup mayonnaise 2 tablespoons Dijon mustard 1/2 teaspoon freshly ground black pepper 4 ciabatta rolls 8 sprigs thyme 1/4 cup extra-virgin olive oil 1/4 cup red wine vinegar 2 garlic cloves, smashed 1 cup arugula","lunch butternut squash vegetarian fall no meat, no problem mayonnaise web dinner mustard sandwich bread winter"
11,Skillet Chicken and Zucchini Enchiladas with Tomatillo Sauce ,5.0,458.0,1825.0,21.0,31.0,3.239,22.0,"[['enpeco2 from New Orleans, LA ', 5], ['clararaa from Colorado ', 5], ['calistam from Seattle ', 5], ['benedetto from NYC ', 5], ['brushjl from solon, ohio ', 5], ['savorygoodness from Cartersville USA ', 5], ['jellis14 from Arlington, MA ', 5], ['lschmidt from Portland, OR ', 4], ['mostlymeg ', 5], ['johnclementwats from Middletown, CT ', 5], ['scunningham from White plains ny ', 5], ['sarahnicole529 from Austin, TX ', 5], ['ginaliening from seattle ', 2], ['jansan1 ', 3], ['sbpoll from Houston ', 5], ['tamlrose from Michigan ', 5], ['ehauber from Taos NM ', 5], ['sbpoll from Houston ', 5], ['blondoverblue from Sacramento, CA ', 5], ['rsnoda from San Francisco Bay Area  ', 5], ['kerryl_530 from Random Lake, WI ', 5], ['katclark from Laguna Niguel, CA ', 5], ['kathleenacampbell ', 5], ['ksolyntjes from Wisconsin  ', 5], ['gkoenig from Tahoe ', 5]]","1/2 teaspoon kosher salt 2 cups shredded cooked chicken (from 1/2 [2 1/2-pound] rotisserie chicken) 1/4 teaspoon freshly ground black pepper 1 cup thinly sliced onion (about 1 small onion) 1/2 teaspoon ground cumin 1 cup (1/2"" pieces) zucchini 1/2 teaspoon ground coriander 2 tablespoons neutral vegetable oil, such as grapeseed 2 (16-ounce) jars store-bought tomatillo salsa or 4 cups homemade tomatillo salsa, divided Sour cream, 1 sliced avocado, cilantro leaves with tender stems, and lime wedges (for serving) 3/4 cup grated Monterey Jack cheese 8 (5-6"") corn tortillas",tortillas wheat/gluten-free soy free 22-minute meals no sugar added zucchini tree nut free coriander tex-mex dinner cumin peanut free web chicken salsa
12,Roasted Apricot Chicken with Mint and Sage Butternut Squash ,4.5,730.0,1231.0,46.0,58.0,9.849,95.0,"[['iambenjago from Washington, DC ', 3], ['ellen23 from Long Island, NY ', 5], ['demarcate from Brooklyn, NY ', 5], ['kathiet from Cincinnati, Ohio ', 5], ['hp ', 1], ['sullivan0830 from Philadelphia, PA ', 1], ['srtracey from Los Angeles, CA ', 5], ['kimlef from Ga ', 1], ['knitbeast from new york city ', 1], ['janetvassar from Los Altos, CA ', 1], ['katherine_poythre from Medford, OR ', 5], ['ka5 from Medford, OR ', 5], ['kpsoundadvice ', 1]]","1 teaspoon olive oil 3 plum tomatoes, cut into small dice 2 teaspoons sea salt 1 teaspoon ground turmeric 1 1/2 teaspoon Spanish paprika 1 tablespoon roughly chopped fresh sage 1 butternut squash, peeled, cut in half, and seeds removed, cut into small dice 1 teaspoon sea salt 1/2 cup chopped dried Turkish apricots 1 (4- to 6-pound) whole chicken 1/2 teaspoon ground cumin 1 teaspoon ground cinnamon 1/4 cup golden raisins 4 large garlic cloves, minced 1 teaspoon ghee or olive oil 3 cups Chicken Bone Broth 1 tablespoon roughly chopped fresh mint",apricot kid-friendly wheat/gluten-free soy free no sugar added tree nut free butternut squash harpercollins web dinner peanut free low fat chicken healthy
13,3-Ingredient Creamy Pumpkin Pasta ,4.0,694.0,508.0,29.0,17.0,7.568,25.0,"[['wannabecook79 ', 4]]","1 1/4 cups heavy cream 1 pound whole wheat short pasta (such as penne, rigatoni, fusilli, or shells) 3/4 cup pure pumpkin purée 1 teaspoon kosher salt, divided, plus more 3/4 teaspoon freshly ground black pepper, divided, plus more",milk/cream 3-ingredient recipes quick & easy web dinner pasta pumpkin
14,Savory Dutch Baby for Two ,5.0,349.0,377.0,22.0,15.0,16.818,25.0,"[['websherpa.ca8425 from Burlington, ON ', 5], ['PowPow from BC Canada ', 5], ['PowPow from BC Canada ', 5]]","Crème fraîche, smoked salmon, baby greens, and lemon wedges (for serving; optional) ½ cup whole milk 2 Tbsp. finely grated Parmesan, plus more for serving 2 large eggs 2 Tbsp. unsalted butter, cut into pieces 1 tsp. finely chopped thyme leaves 1 Tbsp. sugar ¼ cup all-purpose flour ½ tsp. kosher salt ½ tsp. freshly ground black pepper",milk/cream breakfast thyme cheese lemon parmesan butter bake valentine's day quick & easy pancake web brunch salmon egg
15,Crispy Chicken and Potatoes with Cabbage Slaw ,4.0,586.0,816.0,47.0,28.0,4.000999999999999,45.0,"[['susanmw from Baltimore, MD ', 2], ['jenpost1556 from Stoughton, wi ', 5], ['tukats from Santa Barbara, Ca ', 5], ['tukats from Santa Barbara, Ca ', 5], ['Ama1 from texas ', 4], ['lwmjky from San Francisco ', 5], ['lchei from Cincinnati, OH ', 5], ['austin1712 from Bay Area, CA ', 5], ['lincolnpines from Tampa, Florida ', 5], ['happycamper223 from Portland, OR ', 4], ['Johnmdjr from Phoenix, AZ ', 3], ['osterstock from Ladera Ranch, CA ', 5], ['1mustang from Costa Mesa, CA ', 4], ['steveack from Saratoga Springs, NY.  ', 5], ['robboo from Ny ', 5], ['ellen80 from Point Roberts, WA ', 5], ['mamabaer from Pittsburgh ', 5], ['pahastings from Charlottesville, VA ', 2], ['pcbkatt from Panama City beach, Fl ', 3], ['lmckee from Washington, DC ', 2]]","1 3/4 teaspoons freshly ground black pepper, divided 8 bone-in, skin-on chicken thighs (about 2 pounds), trimmed of excess skin and fat, patted dry 1/2 cup very thinly sliced red onion (about 1/4 onion) 2 1/2 cups very thinly sliced red cabbage (from about 1/4 medium cabbage) 12 ounces baby Yukon Gold potatoes, halved (about 2 cups) 1 tablespoon plus 1 1/4 teaspoons ground cumin, divided 1/2 teaspoon honey 1 3/4 teaspoons kosher salt, divided 1/4 cup plus 2 tablespoons olive oil, divided 1–2 tablespoons very thinly sliced jalapeño 2 tablespoons white wine vinegar 1/4 cup chopped mint",wheat/gluten-free #cook90 potato web dinner roast chicken healthy cabbage
16,Baked Feta and Greens with Lemony Yogurt ,5.0,577.0,839.0,38.0,23.0,14.879999999999999,40.0,"[['anromans from Providence, RI ', 5], ['yoshihaga22 from Laguna Beach, Ca.  ', 5], ['cuisincuisine from St Paul MN ', 5], ['jams3 from  Northern New Jersey ', 4], ['tjolish from San Francisco, CA ', 5], ['christine4196 ', 5], ['compostra from Northern California ', 5], ['spfychik84 from Groton, CT ', 5], ['laurenh19 from Tacoma, WA ', 5], ['bugthecat from Ottawa ', 5], ['mmicale from Brooklyn, NY ', 4], ['bustersqueak from Calgary, Alberta ', 5], ['pghgrl from brooklyn, ny ', 5], ['greenjourney from Chicago ', 5], ['richard_frizell from Gabriola, BC, Canada ', 5], ['elschneider from Nashville ', 5], ['portlanderic from Portland, OR ', 5], ['kimberleyt from Victoria, BC Canada ', 5], ['coudremode from Boston, MA ', 5], ['leigh.c.batten2216 from Texas ', 4], ['mbpalladino4458 from Rockport, MA ', 4], ['JamGann from Boston, MA ', 5], ['bas614 from Boston ', 5], ['meganohanlon from DC ', 5], ['avmet from Philadelphia, PA ', 5]]","4 garlic cloves, crushed 2 bunches hearty greens, such as collard greens and/or Tuscan kale, ribs and stems removed, leaves sliced 1 tsp. freshly ground black pepper, divided ½ cup plain whole-milk Greek yogurt 1 medium onion, sliced 2 tsp. kosher salt, divided, plus more Toasted country-style bread (for serving) 1 (½-lb.) block Greek or Bulgarian feta, sliced ½"" thick 6 Tbsp. extra-virgin olive oil, divided 1½ tsp. curry powder, divided 1 (15-oz.) can chickpeas, drained, rinsed 1 Tbsp. fresh lemon juice",collard greens 30 days of groceries lemon juice quick and healthy bake garlic quick & easy vegetarian onion feta chickpea yogurt dinner web curry bread kale
17,Slow-Cooker Shredded Chicken ,4.5,252.0,709.0,8.0,38.0,5.599,370.0,"[['gsam26 from Bama ', 5], ['shortr from Goshen IN ', 4], ['jmurov ', 5], ['elliot1 ', 4], ['trackertart from Qualicum Beach, BC ', 5]]","1 head of garlic, unpeeled, rinsed, halved crosswise 2 bay leaves 4 pounds boneless, skinless chicken thighs 4 cups low-sodium chicken broth 1 teaspoon (or more) freshly ground black pepper 2 medium onions, peeled, halved with root intact 1 tablespoon (or more) kosher salt",kid-friendly lunch small plates garlic healthy onion freezer food web dinner chicken sunday stash slow cooker
18,Quick Sesame Chicken with Broccoli ,4.5,885.0,1257.0,28.0,56.0,3.239,22.0,"[['potterzino from Saugatuck, MI ', 5], ['casper1 from Chicago ', 5], ['eworldcooking from India ', 5], ['diagonza from Mexico City ', 5], ['LizGy from London ', 5], ['delooper from Durham, NC ', 5], ['carolbb from Highland Park, NJ ', 5], ['ksakuma from Oakland, CA ', 5], ['taylorjay from New York ', 4], ['mattx33 from Boise  ID ', 5], ['eli6223 from Minneapolis, mn ', 5], ['ronasjc8500 from Pawtucket, Rhode Island ', 5], ['LiamGriffith from Colorado Springs ', 5], ['itam from Colorado ', 5], ['tejaspenguin from San Antonio, TX ', 4], ['ameliajayne from Ann arbor, MI ', 5], ['vae9106 from TucsTTon,  ', 3], ['xineqoc from Seattle, WA ', 5], ['hannahmattina from michigan ', 5], ['stoerme from Dayton, OH ', 3], ['ilona1 from Holon ', 5], ['aladair from Ossining, NY ', 5], ['merriebeth from New Orleans  ', 4], ['morganmk from Georgia ', 5], ['eguettler from Minneapolis ', 5]]","1 teaspoon finely grated ginger 1/4 cup low-sodium soy sauce 1/4 cup plus 1 tablespoon honey 1 large clove garlic, finely grated 2 pounds boneless skinless chicken thighs, breasts, or a mix, patted dry, cut into 1"" chunks 2 scallions, thinly sliced 1/2 teaspoon freshly ground black pepper 4 tablespoons vegetable oil, divided 8 cups broccoli florets 3 tablespoons rice wine vinegar 1 tablespoon Sriracha 1 1/2 cups quick-cooking white rice 1/4 cup plus 2 tablespoons cornstarch 1 3/4 teaspoons kosher salt, divided, plus more 2 tablespoons toasted sesame seeds, divided 1 1/2 teaspoons toasted sesame oil",22-minute meals broccoli tree nut free kosher stir-fry web dinner peanut free asian chicken steam dairy free
19,Persian Chicken with Turmeric and Lime ,4.5,563.0,813.0,23.0,40.0,8.158999999999999,45.0,"[['azzief1 from Los Angeles  ', 2], ['ilyssa2 from NYC ', 2], ['CatHoward from YORKSHIRE UK ', 5], ['doreenz from Sooke BC ', 4], ['nichomachean from Dallas, Texas ', 5], ['hurricanejl from Miami Beach, FL ', 5], ['hashiparmentier from PORTLAND OREGON ', 5], ['Adpg74 from San Ramon, CA ', 5], ['magdalen20 from San Diego CA ', 5], ['onestitch from Falls Church, VA ', 3], ['alorenstei from Somerville, MA ', 5], ['sylkken from Canada ', 5], ['marissavivo ', 5], ['BDCJK4 from Cambridge, UK ', 5], ['creativecooker from NY ', 2], ['tnbks from torontotoToronto catoro ', 4], ['stephaniezenobia from Denver  ', 3], ['mahu6 from Maine', 5], ['lindakessler from Florida ', 5], ['azzief1 ', 2], ['ljg4 from NYC ', 5], ['cindyross from Orange County, CA ', 5], ['grammyles from Vancouver, BC ', 5], ['hozro932314 from Jersey Shore ', 5], ['pfsiami from Persia ', 2]]","1 English hothouse or large standard cucumber, peeled if desired, quartered lengthwise, cut crosswise into 1/2"" pieces (about 2 cups) 1 cup basmati rice 1 medium onion, halved, thinly sliced 1/4 teaspoon ground cinnamon 1/3 cup shelled unsalted pistachios, coarsely chopped 2 teaspoons ground turmeric 1 cup plain yogurt (optional) Sumac (for serving; optional) 1 teaspoon freshly ground black pepper, divided 1 cup (packed) herb leaves, such as mint, cilantro, and/or dill 3 tablespoons olive oil, divided 1 1/2 pounds boneless, skinless chicken thighs or breasts, cut into bite-sized pieces 1 3/4 teaspoons kosher salt, divided, plus more 2 tablespoons fresh lime juice, plus 8 wedges for serving (3–4 limes total) 1/4 teaspoon ground cardamom 3 large garlic cloves, finely chopped, plus 1 garlic clove, smashed 2 1/4 teaspoons ground cumin, divided",pistachio cucumber middle eastern rice yogurt dinner web herb chicken cardamom cilantro lime juice mint
20,Spiced Turkey Chili with Spaghetti Squash ,3.5,465.0,1675.0,20.0,34.0,5.01,45.0,"[['a_c_stockwe ', 5], ['thaitrav2233 from MA ', 3], ['hmbaldwin ', 2], ['scarlett9 from Newnham UK ', 5], ['michelleb1209 from NJ ', 3], ['sjminkoff from Richmond, VA ', 3], ['smiles1s940 from Alexandria, VA ', 4]]","2 cups low-sodium chicken broth 1/2 teaspoon ground cinnamon 1/4 cup sliced pitted black olives 2 tablespoons extra-virgin olive oil 1 (14-ounce) can kidney beans, drained, rinsed 2 small or 1 large spaghetti squash (3–3 1/2 pounds), halved lengthwise, seeded 1 onion, finely chopped, divided 1/4 cup chopped parsley 1/4 teaspoon cayenne pepper 1 tablespoon unsweetened cocoa powder 1 pound ground turkey 1 1/2 teaspoons (or more) kosher salt, divided 1 (14-ounce) can tomato sauce 3 tablespoons apple cider vinegar 1/2 teaspoon ground allspice",gluten-free and fresh wheat/gluten-free turkey olive poultry soup/stew web dinner bean chili spice squash
21,Slow-Cooker Chipotle-Orange Pork Tacos ,4.5,681.0,1198.0,43.0,61.0,11.897,600.0,"[['suzglass from Birmingham, AL ', 5], ['plgraham from southern ontario ', 5], ['eandcinthekitchen ', 5], ['LizaOlson91 from Los Angeles ', 5], ['cincisusan from Cincinnati ', 5], ['trirod01 from Toledo, Ohio  ', 5], ['SusanChicago from Lakeside, Michigan ', 5], ['jroberts1957 from Sequim,Wa ', 4], ['kararabago ', 4], ['mika53 from Caux-et-Sauzens France ', 2]]","1 tsp. finely grated orange zest 1 cup fresh orange juice A 6-qt. (or larger) slow cooker 2 Tbsp. dried oregano 2 Tbsp. plus 2 tsp. kosher salt 1 Tbsp. chili powder, preferably chipotle 1 (6-lb.) skinless, boneless pork shoulder roast, preferably untied 1 Tbsp. brown sugar Corn tortillas, sour cream, cilantro, pickled red onions, and hot sauce (for serving) 6 garlic cloves, lightly crushed 2 tsp. ground cinnamon 1/4 cup fresh lime juice",pork tortillas orange juice #cook90 kid-friendly wheat/gluten-free sour cream entertaining oregano garlic onion web cinnamon chili taco cilantro slow cooker lime juice
